id,lvl,desc
1,1.5,On insensible possession
2,1.2,oh particular attachment
3,1.2,The books arose
4,2.9,but miles happy she
5,1.7,It building contempt
6,1.6,Suppose cottage between
7,2.9,or interest children 
8,2.6,children  unlocked no
9,2.6,Minuter him own
10,1.6, Nullam quis ante
11,1.1,Offending she contained
12,1.7,Fusce vulputate eleifend sapien
13,2.2,Delicate marianne absolute
14,2.7,In ac dui quis
15,1.1,Praesent adipiscing
16,1.3,Cras id dui. Aenean ut eros et
17,2.1,Agreement far boy
18,2.3,otherwise rapturous incommode
19,1.6,He difficult contented
20,1.3,we determine ourselves
21,2.2,men dashwood landlord
22,1.5,me am earnestly
23,2.8,Hour no find it park
24,1.2,Eat welcomed any
25,1.5,husbands moderate
26,1.7,Led was misery played
27,1.5,waited almost cousin living
28,2.1,Of intention contained
29,2.3,is by middleton am
30,2.6,Principles fat stimulated
31,1.2,uncommonly considered
32,1.3,set especially prosperous
33,1.9,Sons at park
34,2.3,mr meet as fact like
35,1.6,Unpacked now declared
36,1.9,put you confined
37,1.4,daughter improved
38,2.5,Celebrated imprudence
39,1.8,few interested
40,2.1,especially reasonable
41,1.3,Wonder bed elinor
42,1.1,It want gave west 
43,2.2,into high no in
44,1.1,Bringing so sociable 
45,2.1,felicity supplied mr
46,2.5,September suspicion
47,2.5,far him two acuteness perfectly.
48,2.9,Covered as an examine
49,2.2,Ye astonished friendship
50,2.6,remarkably no
